"Date,,,,Fear Greed"
2020-07-14,,,,50.0
2020-07-15,,,,50.0
2020-07-16,,,,50.0
2020-07-17,,,,50.0
2020-07-20,,,,50.0
2020-07-21,,,,50.0
2020-07-22,,,,50.0
2020-07-23,,,,50.0
2020-07-24,,,,50.0
2020-07-27,,,,50.0
2020-07-28,,,,50.0
2020-07-29,,,,50.0
2020-07-30,,,,50.0
2020-07-31,,,,50.0
2020-08-03,,,,50.0
2020-08-04,,,,50.0
2020-08-05,,,,50.0
2020-08-06,,,,50.0
2020-08-07,,,,50.0
2020-08-10,,,,50.0
2020-08-11,,,,50.0
2020-08-12,,,,50.0
2020-08-13,,,,50.0
2020-08-14,,,,50.0
2020-08-17,,,,50.0
2020-08-18,,,,50.0
2020-08-19,,,,50.0
2020-08-20,,,,50.0
2020-08-21,,,,50.0
2020-08-24,,,,50.0
2020-08-25,,,,50.0
2020-08-26,,,,50.0
2020-08-27,,,,50.0
2020-08-28,,,,50.0
2020-08-31,,,,50.0
2020-09-01,,,,50.0
2020-09-02,,,,50.0
2020-09-03,,,,2.6
2020-09-04,,,,3.8000000000000003
2020-09-08,,,,3.4000000000000004
2020-09-09,,,,50.0
2020-09-10,,,,50.0
2020-09-11,,,,50.0
2020-09-14,,,,50.0
2020-09-15,,,,50.0
2020-09-16,,,,50.0
2020-09-17,,,,50.0
2020-09-18,,,,50.0
2020-09-21,,,,50.0
2020-09-22,,,,50.0
2020-09-23,,,,50.0
2020-09-24,,,,50.0
2020-09-25,,,,50.0
2020-09-28,,,,50.0
2020-09-29,,,,50.0
2020-09-30,,,,50.0
2020-10-01,,,,50.0
2020-10-02,,,,50.0
2020-10-05,,,,50.0
2020-10-06,,,,50.0
2020-10-07,,,,50.0
2020-10-08,,,,50.0
2020-10-09,,,,50.0
2020-10-12,,,,50.0
2020-10-13,,,,50.0
2020-10-14,,,,50.0
2020-10-15,,,,50.0
2020-10-16,,,,50.0
2020-10-19,,,,50.0
2020-10-20,,,,50.0
2020-10-21,,,,50.0
2020-10-22,,,,50.0
2020-10-23,,,,50.0
2020-10-26,,,,2.7
2020-10-27,,,,2.3000000000000003
2020-10-28,,,,0.30000000000000004
2020-10-29,,,,1.1
2020-10-30,,,,1.9000000000000001
2020-11-02,,,,2.8000000000000003
2020-11-03,,,,3.6
2020-11-04,,,,50.0
2020-11-05,,,,50.0
2020-11-06,,,,50.0
2020-11-09,,,,50.0
2020-11-10,,,,50.0
2020-11-11,,,,50.0
2020-11-12,,,,50.0
2020-11-13,,,,50.0
2020-11-16,,,,50.0
2020-11-17,,,,50.0
2020-11-18,,,,50.0
2020-11-19,,,,50.0
2020-11-20,,,,50.0
2020-11-23,,,,50.0
2020-11-24,,,,50.0
2020-11-25,,,,50.0
2020-11-27,,,,50.0
2020-11-30,,,,50.0
2020-12-01,,,,50.0
2020-12-02,,,,50.0
2020-12-03,,,,50.0
2020-12-04,,,,50.0
2020-12-07,,,,50.0
2020-12-08,,,,50.0
2020-12-09,,,,50.0
2020-12-10,,,,50.0
2020-12-11,,,,50.0
2020-12-14,,,,50.0
2020-12-15,,,,50.0
2020-12-16,,,,50.0
2020-12-17,,,,50.0
2020-12-18,,,,50.0
2020-12-21,,,,50.0
2020-12-22,,,,50.0
2020-12-23,,,,50.0
2020-12-24,,,,50.0
2020-12-28,,,,50.0
2020-12-29,,,,50.0
2020-12-30,,,,50.0
2020-12-31,,,,50.0
2021-01-04,,,,50.0
2021-01-05,,,,50.0
2021-01-06,,,,50.0
2021-01-07,,,,50.0
2021-01-08,,,,50.0
2021-01-11,,,,50.0
2021-01-12,,,,50.0
2021-01-13,,,,50.0
2021-01-14,,,,50.0
2021-01-15,,,,50.0
2021-01-19,,,,50.0
2021-01-20,,,,50.0
2021-01-21,,,,50.0
2021-01-22,,,,68.9
