Date,Stock Price Breadth
2020-07-14,1452.7927337732976
2020-07-15,1499.401976190176
2020-07-16,1524.3271416689295
2020-07-17,1537.4104855354433
2020-07-20,1534.8024382009405
2020-07-21,1560.3531311071981
2020-07-22,1588.9734190620725
2020-07-23,1601.2008784109453
2020-07-24,1588.1331236288097
2020-07-27,1580.4259649766038
2020-07-28,1566.7412418900542
2020-07-29,1577.3655603072639
2020-07-30,1554.7337222661208
2020-07-31,1518.241977845533
2020-08-03,1494.012346116711
2020-08-04,1488.8530544130147
2020-08-05,1502.9012469712075
2020-08-06,1507.348804001748
2020-08-07,1516.2166650219524
2020-08-10,1546.5103718128964
2020-08-11,1568.4253838164004
2020-08-12,1588.41114023855
2020-08-13,1587.5164847559938
2020-08-14,1588.5228422834014
2020-08-17,1580.191255320857
2020-08-18,1553.3901299590414
2020-08-19,1513.4128386458283
2020-08-20,1459.477075997927
2020-08-21,1395.6415150213702
2020-08-24,1371.22048600763
2020-08-25,1346.6912659334964
2020-08-26,1313.7559351527493
2020-08-27,1295.664241772024
2020-08-28,1307.4470372344113
2020-08-31,1291.2962775076494
2020-09-01,1283.3045540102653
2020-09-02,1295.1452806132186
2020-09-03,1276.3831994456411
2020-09-04,1254.0866714178053
2020-09-08,1202.6375248905333
2020-09-09,1178.8941090447013
2020-09-10,1123.5651618777451
2020-09-11,1079.4686560948956
2020-09-14,1075.1741446876429
2020-09-15,1067.4149094759878
2020-09-16,1081.0140527431795
2020-09-17,1084.089135686286
2020-09-18,1062.2016224073188
2020-09-21,1003.0240195904772
2020-09-22,953.3203185941533
2020-09-23,869.6141842599732
2020-09-24,805.8377678522443
2020-09-25,767.758908248105
2020-09-28,767.6861761870723
2020-09-29,744.9433313990359
2020-09-30,745.2181400231894
2020-10-01,753.151877582396
2020-10-02,775.8096217279215
2020-10-05,827.1582769647338
2020-10-06,847.6879719142565
2020-10-07,897.9321268081388
2020-10-08,976.9758510369368
2020-10-09,1045.1738835495667
2020-10-12,1114.5121579383435
2020-10-13,1145.7616928366517
2020-10-14,1164.3972691416056
2020-10-15,1191.0152544518612
2020-10-16,1212.0864500469008
2020-10-19,1201.2492410088778
2020-10-20,1213.1977216956222
2020-10-21,1208.9798629631146
2020-10-22,1233.0840754185294
2020-10-23,1262.525441806907
2020-10-26,1244.345956215698
2020-10-27,1202.0275957258632
2020-10-28,1123.003103616086
2020-10-29,1075.1776468663272
2020-10-30,1025.42770188113
2020-11-02,1016.2346179721033
2020-11-03,1042.4855048709871
2020-11-04,1059.2546135373357
2020-11-05,1106.4713735728844
2020-11-06,1140.661908403404
2020-11-09,1201.1314443404099
2020-11-10,1264.8786943004256
2020-11-11,1305.1850387142242
2020-11-12,1307.8297924944363
2020-11-13,1342.644139236694
2020-11-16,1405.8522204425144
2020-11-17,1467.5012674910774
2020-11-18,1501.4576430067684
2020-11-19,1543.9056733527568
2020-11-20,1571.3109796827312
2020-11-23,1623.0098610800242
2020-11-24,1695.3668257430554
2020-11-25,1746.9537510471494
2020-11-27,1779.8252473045432
2020-11-30,1774.492554843963
2020-12-01,1783.9530096017554
2020-12-02,1805.998222035566
2020-12-03,1835.631222817196
2020-12-04,1887.6784730776774
2020-12-07,1914.4205149085149
2020-12-08,1945.7035946773765
2020-12-09,1966.1807424526744
2020-12-10,1985.4543303921819
2020-12-11,1975.5581915201096
2020-12-14,1931.8395785866182
2020-12-15,1922.2724612519974
2020-12-16,1902.9297979312298
2020-12-17,1901.0868990738024
2020-12-18,1877.2298932698568
2020-12-21,1834.5317913681286
2020-12-22,1779.8783665462788
2020-12-23,1754.5750371299127
2020-12-24,1719.057190208391
2020-12-28,1681.919084933131
2020-12-29,1630.2317443331824
2020-12-30,1603.8068436337583
2020-12-31,1585.874546198203
2021-01-04,1548.205787087732
2021-01-05,1539.0520609549692
2021-01-06,1558.2270940996775
2021-01-07,1587.1496949995947
2021-01-08,1607.0036049342038
2021-01-11,1621.5591791248003
2021-01-12,1655.543975126182
