Date,Stock Price Strength
2020-07-14,2.0009662565661417
2020-07-15,2.051305996181495
2020-07-16,2.0784655704380572
2020-07-17,2.1440446867772622
2020-07-20,2.1931082971710913
2020-07-21,2.336615921777637
2020-07-22,2.4215437775863746
2020-07-23,2.59743428841614
2020-07-24,2.704078495423684
2020-07-27,2.8321143759348124
2020-07-28,2.9594760142109444
2020-07-29,3.097218722045197
2020-07-30,3.1509031236835
2020-07-31,3.123630155923929
2020-08-03,3.1599476551061496
2020-08-04,3.239747808332876
2020-08-05,3.3925715805075267
2020-08-06,3.497090543774096
2020-08-07,3.578176913280611
2020-08-10,3.6000917556658614
2020-08-11,3.759564425070393
2020-08-12,3.8095302504847877
2020-08-13,3.833968751781865
2020-08-14,3.7730854317465305
2020-08-17,3.748473036101549
2020-08-18,3.699011404122139
2020-08-19,3.625775122576915
2020-08-20,3.469240710790469
2020-08-21,3.426475043567838
2020-08-24,3.3912001227093924
2020-08-25,3.3472415691295643
2020-08-26,3.265678949492769
2020-08-27,3.262904893314756
2020-08-28,3.2616729773433106
2020-08-31,3.171837817856846
2020-09-01,3.129408347081748
2020-09-02,3.132041328760383
2020-09-03,3.031996458403663
2020-09-04,2.8470423465541224
2020-09-08,2.6515724171648847
2020-09-09,2.4554305057409933
2020-09-10,2.3311617836255114
2020-09-11,2.2094840314934454
2020-09-14,2.1916764835668125
2020-09-15,2.215624421582787
2020-09-16,2.2127827103104116
2020-09-17,2.1924658416188283
2020-09-18,2.2191469527500405
2020-09-21,2.109694754172822
2020-09-22,1.9561491399818633
2020-09-23,1.774949412093126
2020-09-24,1.5268895855724005
2020-09-25,1.3152105959764553
2020-09-28,1.251958249618174
2020-09-29,1.247844097976089
2020-09-30,1.1778884265092089
2020-10-01,1.0124145028059932
2020-10-02,0.935227108223781
2020-10-05,1.086347791670939
2020-10-06,1.3232163408432853
2020-10-07,1.495371467123512
2020-10-08,1.7110551188613605
2020-10-09,1.98893671291124
2020-10-12,2.191901469788869
2020-10-13,2.2738491417876663
2020-10-14,2.237341578928522
2020-10-15,2.2155397825940155
2020-10-16,2.2944471465619194
2020-10-19,2.4246923782261662
2020-10-20,2.54603216684235
2020-10-21,2.6616570142401885
2020-10-22,2.816153594725392
2020-10-23,2.955337593739105
2020-10-26,2.838042531348708
2020-10-27,2.68649342644043
2020-10-28,2.442034788982045
2020-10-29,2.1958494922197254
2020-10-30,2.0215664014057806
2020-11-02,1.849482134283042
2020-11-03,1.67810753313435
2020-11-04,1.6138800809984317
2020-11-05,1.589324733620883
2020-11-06,1.5190577722772765
2020-11-09,1.770503027013693
2020-11-10,1.859835172530664
2020-11-11,1.7745351726128997
2020-11-12,1.7467192395746338
2020-11-13,1.67588922871309
2020-11-16,1.9224388340085774
2020-11-17,2.18261577313799
2020-11-18,2.391608913248319
2020-11-19,2.527152186089482
2020-11-20,2.6150156938984046
2020-11-23,3.0050451810674637
2020-11-24,3.5917248066495313
2020-11-25,4.141433450010065
2020-11-27,4.575171495759848
2020-11-30,4.95704181127371
2020-12-01,5.315173747830778
2020-12-02,5.465551787554025
2020-12-03,5.63223423759963
2020-12-04,5.874599620569335
2020-12-07,6.092041582644427
2020-12-08,6.08726391426191
2020-12-09,6.354219075982756
2020-12-10,6.704186278684011
2020-12-11,7.025661022210174
2020-12-14,7.271372174339413
2020-12-15,7.275091553877408
2020-12-16,7.242827132018684
2020-12-17,7.368420538025963
2020-12-18,7.698917292155864
2020-12-21,7.799804345954774
2020-12-22,7.965247244229282
2020-12-23,7.973531421610418
2020-12-24,8.048684875076564
2020-12-28,8.21745654792705
2020-12-29,8.256994324162154
2020-12-30,8.146653020423935
2020-12-31,8.223308103346444
2021-01-04,8.172091947280146
2021-01-05,7.91617239905852
2021-01-06,8.027839815800196
2021-01-07,8.171398732032348
2021-01-08,8.21784852550597
2021-01-11,8.067314462760603
2021-01-12,8.254803825122263
2021-01-13,8.496356679387281
2021-01-14,8.770287645017094
2021-01-15,8.794957626790625
2021-01-19,8.693979621693977
2021-01-20,8.600519474099293
2021-01-21,8.732861809061246
2021-01-22,8.547911637982837
2021-01-25,8.44763652384277
2021-01-26,8.332281714421335
2021-01-27,8.052746518420392
2021-01-28,7.86482930684366
2021-01-29,7.720259951259453
2021-02-01,7.572674511370187
2021-02-02,7.555964179785155
2021-02-03,7.590935335133073
2021-02-04,7.371965838807869
2021-02-05,7.200094554966839
2021-02-08,7.148502842458096
2021-02-09,7.538757705059146
2021-02-10,7.571500510240019
2021-02-11,7.474940969571708
2021-02-12,7.293477756664461
2021-02-16,7.492991388668846
2021-02-17,7.571099525642645
2021-02-18,7.351606314400541
2021-02-19,7.290600603884594
2021-02-22,7.429376908547444
2021-02-23,7.330617622198816
2021-02-24,7.45854081482013
2021-02-25,7.728372707239654
2021-02-26,7.607507100923008
2021-03-01,7.807775094007438
2021-03-02,7.869266392664384
2021-03-03,7.88611077706157
2021-03-04,7.734321595541141
2021-03-05,7.452808725509003
2021-03-08,7.577475138983202
2021-03-09,7.599807194204877
2021-03-10,7.546680948313339
2021-03-11,7.741893074600677
2021-03-12,8.067577223756821
2021-03-15,8.28188378959465
2021-03-16,8.285862701362282
2021-03-17,8.276280442230616
2021-03-18,8.564359864407114
2021-03-19,8.387226509720083
2021-03-22,8.070740160534248
2021-03-23,7.714309890190946
2021-03-24,7.108088798985336
2021-03-25,6.450427606766897
2021-03-26,6.607375799337278
2021-03-29,6.620854037771766
2021-03-30,6.633406609662962
2021-03-31,6.64772670094163
2021-04-01,6.88218446634192
